Data;Valor
jun/89;19,68
jul/89;35,9
ago/89;36,92
set/89;39,92
out/89;40,64
nov/89;40,48
dez/89;47,13
jan/90;61,46
fev/90;81,29
mar/90;83,95
abr/90;28,35
mai/90;5,93
jun/90;9,94
jul/90;12,01
ago/90;13,62
set/90;12,8
out/90;12,97
nov/90;16,86
dez/90;18
jan/91;17,7
fev/91;21,02
mar/91;9,19
abr/91;7,81
mai/91;7,48
jun/91;8,48
jul/91;13,22
ago/91;15,25
set/91;14,93
out/91;22,63
nov/91;25,62
dez/91;23,63
jan/92;23,56
fev/92;27,86
mar/92;21,39
abr/92;19,94
mai/92;20,43
jun/92;23,61
jul/92;21,84
ago/92;24,63
set/92;25,27
out/92;26,76
nov/92;23,43
dez/92;25,08
jan/93;25,83
fev/93;28,41
mar/93;26,25
abr/93;28,83
mai/93;29,7
jun/93;31,5
jul/93;31,25
ago/93;31,79
set/93;35,28
out/93;35,04
nov/93;36,15
dez/93;38,32
jan/94;39,07
fev/94;40,78
mar/94;45,71
abr/94;40,91
mai/94;42,58
jun/94;45,21
jul/94;4,33
ago/94;3,94
set/94;1,75
out/94;1,82
nov/94;2,85
dez/94;0,84
jan/95;0,92
fev/95;1,39
mar/95;1,12
abr/95;2,1
mai/95;0,58
jun/95;2,46
jul/95;1,82
ago/95;2,2
set/95;-0,71
out/95;0,52
nov/95;1,2
dez/95;0,71
jan/96;1,73
fev/96;0,97
mar/96;0,4
abr/96;0,32
mai/96;1,55
jun/96;1,02
jul/96;1,35
ago/96;0,28
set/96;0,1
out/96;0,19
nov/96;0,2
dez/96;0,73
jan/97;1,77
fev/97;0,43
mar/97;1,15
abr/97;0,68
mai/97;0,21
jun/97;0,74
jul/97;0,09
ago/97;0,09
set/97;0,48
out/97;0,37
nov/97;0,64
dez/97;0,84
jan/98;0,96
fev/98;0,18
mar/98;0,19
abr/98;0,13
mai/98;0,14
jun/98;0,38
jul/98;-0,17
ago/98;-0,16
set/98;-0,08
out/98;0,08
nov/98;-0,32
dez/98;0,45
jan/99;0,84
fev/99;3,61
mar/99;2,83
abr/99;0,71
mai/99;-0,29
jun/99;0,36
jul/99;1,55
ago/99;1,56
set/99;1,45
out/99;1,7
nov/99;2,39
dez/99;1,81
jan/00;1,24
fev/00;0,35
mar/00;0,15
abr/00;0,23
mai/00;0,31
jun/00;0,85
jul/00;1,57
ago/00;2,39
set/00;1,16
out/00;0,38
nov/00;0,29
dez/00;0,63
jan/01;0,62
fev/01;0,23
mar/01;0,56
abr/01;1
mai/01;0,86
jun/01;0,98
jul/01;1,48
ago/01;1,38
set/01;0,31
out/01;1,18
nov/01;1,1
dez/01;0,22
jan/02;0,36
fev/02;0,06
mar/02;0,09
abr/02;0,56
mai/02;0,83
jun/02;1,54
jul/02;1,95
ago/02;2,32
set/02;2,4
out/02;3,87
nov/02;5,19
dez/02;3,75
jan/03;2,33
fev/03;2,28
mar/03;1,53
abr/03;0,92
mai/03;-0,26
jun/03;-1
jul/03;-0,42
ago/03;0,38
set/03;1,18
out/03;0,38
nov/03;0,49
dez/03;0,61
jan/04;0,88
fev/04;0,69
mar/04;1,13
abr/04;1,21
mai/04;1,31
jun/04;1,38
jul/04;1,31
ago/04;1,22
set/04;0,69
out/04;0,39
nov/04;0,82
dez/04;0,74
jan/05;0,39
fev/05;0,3
mar/05;0,85
abr/05;0,86
mai/05;-0,22
jun/05;-0,44
jul/05;-0,34
ago/05;-0,65
set/05;-0,53
out/05;0,6
nov/05;0,4
dez/05;-0,01
jan/06;0,92
fev/06;0,01
mar/06;-0,23
abr/06;-0,42
mai/06;0,38
jun/06;0,75
jul/06;0,18
ago/06;0,37
set/06;0,29
out/06;0,47
nov/06;0,75
dez/06;0,32
jan/07;0,5
fev/07;0,27
mar/07;0,34
abr/07;0,04
mai/07;0,04
jun/07;0,26
jul/07;0,28
ago/07;0,98
set/07;1,29
out/07;1,05
nov/07;0,69
dez/07;1,76
jan/08;1,09
fev/08;0,53
mar/08;0,74
abr/08;0,69
mai/08;1,61
jun/08;1,98
jul/08;1,76
ago/08;-0,32
set/08;0,11
out/08;0,98
nov/08;0,38
dez/08;-0,13
jan/09;-0,44
fev/09;0,26
mar/09;-0,74
abr/09;-0,15
mai/09;-0,07
jun/09;-0,1
jul/09;-0,43
ago/09;-0,36
set/09;0,42
out/09;0,05
nov/09;0,1
dez/09;-0,26
jan/10;0,63
fev/10;1,18
mar/10;0,94
abr/10;0,77
mai/10;1,19
jun/10;0,85
jul/10;0,15
ago/10;0,77
set/10;1,15
out/10;1,01
nov/10;1,45
dez/10;0,69
jan/11;0,79
fev/11;1
mar/11;0,62
abr/11;0,45
mai/11;0,43
jun/11;-0,18
jul/11;-0,12
ago/11;0,44
set/11;0,65
out/11;0,53
nov/11;0,5
dez/11;-0,12
jan/12;0,25
fev/12;-0,06
mar/12;0,43
abr/12;0,85
mai/12;1,02
jun/12;0,66
jul/12;1,34
ago/12;1,43
set/12;0,97
out/12;0,02
nov/12;-0,03
dez/12;0,68
jan/13;0,34
fev/13;0,29
mar/13;0,21
abr/13;0,15
mai/13;0
jun/13;0,75
jul/13;0,26
ago/13;0,15
set/13;1,5
out/13;0,86
nov/13;0,29
dez/13;0,6
jan/14;0,48
fev/14;0,38
mar/14;1,67
abr/14;0,78
mai/14;-0,13
jun/14;-0,74
jul/14;-0,61
ago/14;-0,27
set/14;0,2
out/14;0,28
nov/14;0,98
dez/14;0,62
jan/15;0,76
fev/15;0,27
mar/15;0,98
abr/15;1,17
mai/15;0,41
jun/15;0,67
jul/15;0,69
ago/15;0,28
set/15;0,95
out/15;1,89
nov/15;1,52
dez/15;0,49
jan/16;1,14
fev/16;1,29
mar/16;0,51
abr/16;0,33
mai/16;0,82
jun/16;1,69
jul/16;0,18
ago/16;0,15
set/16;0,2
out/16;0,16
nov/16;-0,03
dez/16;0,54
jan/17;0,64
fev/17;0,08
mar/17;0,01
abr/17;-1,1
mai/17;-0,93
jun/17;-0,67
jul/17;-0,72
ago/17;0,1
set/17;0,47
out/17;0,2
nov/17;0,52
dez/17;0,89
jan/18;0,76
fev/18;0,07
mar/18;0,64
abr/18;0,57
mai/18;1,38
jun/18;1,87
jul/18;0,51
ago/18;0,7
set/18;1,52
out/18;0,89
nov/18;-0,49
dez/18;-1,08
jan/19;0,01
fev/19;0,88
mar/19;1,26
abr/19;0,92
mai/19;0,45
jun/19;0,8
jul/19;0,4
ago/19;-0,67
set/19;-0,01
out/19;0,68
nov/19;0,3
dez/19;2,09
jan/20;0,48
fev/20;-0,04
mar/20;1,24
abr/20;0,8
mai/20;0,28
jun/20;1,56
jul/20;2,23
ago/20;2,74
set/20;4,34
out/20;3,23
nov/20;3,28
dez/20;0,96
jan/21;2,58
fev/21;2,53
mar/21;2,94
abr/21;1,51
mai/21;4,1
jun/21;0,6
jul/21;0,78
ago/21;0,66
set/21;-0,64
out/21;0,64
nov/21;0,02
dez/21;0,87
jan/22;1,82
fev/22;1,83
mar/22;1,74
Fonte;FGV
